"","shrinkage","interaction.depth","n.minobsinnode","bag.fraction","optimal_trees","min_RMSE","min_MSE"
"1",0.01,3,10,0.65,1866,0,17047312212.9879
"2",0.05,3,10,0.65,323,0,16942673485.737
"3",0.1,3,10,0.65,144,0,18435890982.0259
"4",0.01,5,10,0.65,1368,0,15931827781.4079
"5",0.05,5,10,0.65,231,0,16313113282.6242
"6",0.1,5,10,0.65,108,0,16160675132.608
"7",0.01,7,10,0.65,1275,0,15132085869.052
"8",0.05,7,10,0.65,233,0,15836480955.9454
"9",0.1,7,10,0.65,102,0,14911327671.0025
"10",0.01,3,15,0.65,1706,0,17021226102.6544
"11",0.05,3,15,0.65,379,0,16892666748.8895
"12",0.1,3,15,0.65,155,0,17475254241.0965
"13",0.01,5,15,0.65,1367,0,15951274992.6763
"14",0.05,5,15,0.65,360,0,15836903247.971
"15",0.1,5,15,0.65,102,0,16488027243.54
"16",0.01,7,15,0.65,1176,0,15059928803.5677
"17",0.05,7,15,0.65,233,0,15193146679.8786
"18",0.1,7,15,0.65,102,0,15476347784.7304
"19",0.01,3,20,0.65,1867,0,16894311421.0139
"20",0.05,3,20,0.65,364,0,17225837654.1075
"21",0.1,3,20,0.65,185,0,18098260296.9235
"22",0.01,5,20,0.65,1380,0,15666544416.3305
"23",0.05,5,20,0.65,278,0,15920874212.9937
"24",0.1,5,20,0.65,128,0,16171970876.9539
"25",0.01,7,20,0.65,1360,0,15071966069.7856
"26",0.05,7,20,0.65,238,0,15277124606.4054
"27",0.1,7,20,0.65,104,0,15245993048.7412
"28",0.01,3,10,0.8,1658,0,17464518449.6454
"29",0.05,3,10,0.8,354,0,17748233912.7749
"30",0.1,3,10,0.8,186,0,18076118832.2594
"31",0.01,5,10,0.8,1093,0,16333783966.8526
"32",0.05,5,10,0.8,230,0,17014432098.9315
"33",0.1,5,10,0.8,117,0,16946205680.2542
"34",0.01,7,10,0.8,966,0,15482869229.3349
"35",0.05,7,10,0.8,205,0,15501479835.9137
"36",0.1,7,10,0.8,92,0,14728590241.1925
"37",0.01,3,15,0.8,1731,0,17123637323.1508
"38",0.05,3,15,0.8,355,0,17695274361.773
"39",0.1,3,15,0.8,146,0,17667768265.119
"40",0.01,5,15,0.8,1218,0,16037968502.9682
"41",0.05,5,15,0.8,277,0,16308552157.2492
"42",0.1,5,15,0.8,170,0,16466979564.9769
"43",0.01,7,15,0.8,976,0,15297587489.7815
"44",0.05,7,15,0.8,273,0,15423253008.3984
"45",0.1,7,15,0.8,112,0,15769643011.5806
"46",0.01,3,20,0.8,2223,0,16953611848.8848
"47",0.05,3,20,0.8,397,0,18208693752.9901
"48",0.1,3,20,0.8,146,0,17863251223.5238
"49",0.01,5,20,0.8,1462,0,16050413547.7053
"50",0.05,5,20,0.8,231,0,16314980973.7861
"51",0.1,5,20,0.8,118,0,16302860744.6222
"52",0.01,7,20,0.8,1331,0,15271301625.0362
"53",0.05,7,20,0.8,234,0,15434490403.0967
"54",0.1,7,20,0.8,123,0,15235094500.676
"55",0.01,3,10,1,752,0,18929416290.1952
"56",0.05,3,10,1,136,0,19732625415.3333
"57",0.1,3,10,1,81,0,19331710826.5623
"58",0.01,5,10,1,597,0,17798060252.0111
"59",0.05,5,10,1,149,0,18561818278.0857
"60",0.1,5,10,1,68,0,18792742541.2162
"61",0.01,7,10,1,571,0,16482440928.2013
"62",0.05,7,10,1,132,0,16249073603.591
"63",0.1,7,10,1,75,0,17133595502.9596
"64",0.01,3,15,1,812,0,18708324298.9069
"65",0.05,3,15,1,187,0,19283243683.168
"66",0.1,3,15,1,66,0,18902607742.3581
"67",0.01,5,15,1,672,0,17617453008.636
"68",0.05,5,15,1,126,0,16959721127.9979
"69",0.1,5,15,1,63,0,17604685109.0083
"70",0.01,7,15,1,641,0,16290270561.1303
"71",0.05,7,15,1,117,0,16178515080.2434
"72",0.1,7,15,1,58,0,15984037638.8455
"73",0.01,3,20,1,922,0,18124947873.6212
"74",0.05,3,20,1,171,0,19053828765.778
"75",0.1,3,20,1,80,0,18676002559.9491
"76",0.01,5,20,1,743,0,17217358509.2957
"77",0.05,5,20,1,133,0,17766861399.3814
"78",0.1,5,20,1,55,0,16781877740.2631
"79",0.01,7,20,1,663,0,15899621858.2
"80",0.05,7,20,1,120,0,15963152406.0259
"81",0.1,7,20,1,55,0,16184991971.0841
